id,kind,category,cost,weight,enabled,notes
marangaberry,item,consumable,15,1,1,special hit special defense berry
lansatberry,item,consumable,15,1,1,pinch critical berry
starfberry,item,consumable,15,1,1,pinch random stat berry
micleberry,item,consumable,15,1,1,pinch accuracy berry
leftovers,item,held,800,5,1,recover each turn
blacksludge,item,held,700,3,1,poison recovery
lifeorb,item,held,900,4,1,damage boost
choiceband,item,held,900,3,1,attack choice boost
choicespecs,item,held,900,3,1,special attack choice boost
choicescarf,item,held,900,3,1,speed choice boost
assaultvest,item,held,800,3,1,special defense boost
focussash,item,held,800,3,1,survive from full
focusband,item,held,600,2,1,chance survive
weaknesspolicy,item,held,1000,2,1,boost after super effective hit
eviolite,item,held,800,3,1,not fully evolved bulk
rockyhelmet,item,held,800,3,1,contact damage
airballoon,item,held,500,2,1,ground immunity
expertbelt,item,held,500,3,1,super effective boost
muscleband,item,held,500,3,1,physical boost
wiseglasses,item,held,500,3,1,special boost
lightclay,item,held,500,2,1,screen duration
mentalherb,item,held,500,2,1,mental status cure
whiteherb,item,held,500,2,1,stat drop cure
powerherb,item,held,500,2,1,charge move skip
safetygoggles,item,held,500,2,1,powder and weather immunity
scope lens,item,held,500,2,0,disabled example with space id
scopelens,item,held,500,2,1,critical hit boost
shellbell,item,held,500,2,1,damage recovery
metronome,item,held,500,2,1,repeated move boost
aloraichiumz,item,held,800,1,1,z crystal
buginiumz,item,held,800,1,1,z crystal
darkiniumz,item,held,800,1,1,z crystal
decidiumz,item,held,800,1,1,z crystal
dragoniumz,item,held,800,1,1,z crystal
eeviumz,item,held,800,1,1,z crystal
electriumz,item,held,800,1,1,z crystal
fairiumz,item,held,800,1,1,z crystal
fightiniumz,item,held,800,1,1,z crystal
firiumz,item,held,800,1,1,z crystal
flyiniumz,item,held,800,1,1,z crystal
ghostiumz,item,held,800,1,1,z crystal
grassiumz,item,held,800,1,1,z crystal
groundiumz,item,held,800,1,1,z crystal
iciumz,item,held,800,1,1,z crystal
inciniumz,item,held,800,1,1,z crystal
kommoniumz,item,held,800,1,1,z crystal
lunaliumz,item,held,800,1,1,z crystal
lycaniumz,item,held,800,1,1,z crystal
marshadiumz,item,held,800,1,1,z crystal
mewniumz,item,held,800,1,1,z crystal
mimikiumz,item,held,800,1,1,z crystal
normaliumz,item,held,800,1,1,z crystal
pikaniumz,item,held,800,1,1,z crystal
pikashuniumz,item,held,800,1,1,z crystal
poisoniumz,item,held,800,1,1,z crystal
primariumz,item,held,800,1,1,z crystal
psychiumz,item,held,800,1,1,z crystal
rockiumz,item,held,800,1,1,z crystal
snorliumz,item,held,800,1,1,z crystal
solganiumz,item,held,800,1,1,z crystal
steeliumz,item,held,800,1,1,z crystal
tapuniumz,item,held,800,1,1,z crystal
ultranecroziumz,item,held,800,1,1,z crystal
wateriumz,item,held,800,1,1,z crystal
abomasite,item,held,800,1,1,mega stone
absolite,item,held,800,1,1,mega stone
absolitez,item,held,800,1,1,mega stone
aerodactylite,item,held,800,1,1,mega stone
aggronite,item,held,800,1,1,mega stone
alakazite,item,held,800,1,1,mega stone
altarianite,item,held,800,1,1,mega stone
ampharosite,item,held,800,1,1,mega stone
audinite,item,held,800,1,1,mega stone
banettite,item,held,800,1,1,mega stone
barbaracite,item,held,800,1,1,mega stone
baxcalibrite,item,held,800,1,1,mega stone
beedrillite,item,held,800,1,1,mega stone
blastoisinite,item,held,800,1,1,mega stone
blazikenite,item,held,800,1,1,mega stone
cameruptite,item,held,800,1,1,mega stone
chandelurite,item,held,800,1,1,mega stone
charizarditex,item,held,800,1,1,mega stone
charizarditey,item,held,800,1,1,mega stone
chesnaughtite,item,held,800,1,1,mega stone
chimechite,item,held,800,1,1,mega stone
clefablite,item,held,800,1,1,mega stone
crabominite,item,held,800,1,1,mega stone
darkranite,item,held,800,1,1,mega stone
delphoxite,item,held,800,1,1,mega stone
diancite,item,held,800,1,1,mega stone
dragalgite,item,held,800,1,1,mega stone
dragoninite,item,held,800,1,1,mega stone
drampanite,item,held,800,1,1,mega stone
eelektrossite,item,held,800,1,1,mega stone
emboarite,item,held,800,1,1,mega stone
excadrite,item,held,800,1,1,mega stone
falinksite,item,held,800,1,1,mega stone
feraligite,item,held,800,1,1,mega stone
floettite,item,held,800,1,1,mega stone
froslassite,item,held,800,1,1,mega stone
galladite,item,held,800,1,1,mega stone
garchompite,item,held,800,1,1,mega stone
garchompitez,item,held,800,1,1,mega stone
gardevoirite,item,held,800,1,1,mega stone
gengarite,item,held,800,1,1,mega stone
glalitite,item,held,800,1,1,mega stone
glimmoranite,item,held,800,1,1,mega stone
golisopite,item,held,800,1,1,mega stone
golurkite,item,held,800,1,1,mega stone
greninjite,item,held,800,1,1,mega stone
gyaradosite,item,held,800,1,1,mega stone
hawluchanite,item,held,800,1,1,mega stone
heatranite,item,held,800,1,1,mega stone
heracronite,item,held,800,1,1,mega stone
houndoominite,item,held,800,1,1,mega stone
kangaskhanite,item,held,800,1,1,mega stone
latiasite,item,held,800,1,1,mega stone
latiosite,item,held,800,1,1,mega stone
lopunnite,item,held,800,1,1,mega stone
lucarionite,item,held,800,1,1,mega stone
lucarionitez,item,held,800,1,1,mega stone
magearnite,item,held,800,1,1,mega stone
malamarite,item,held,800,1,1,mega stone
manectite,item,held,800,1,1,mega stone
mawilite,item,held,800,1,1,mega stone
medichamite,item,held,800,1,1,mega stone
meganiumite,item,held,800,1,1,mega stone
meowsticite,item,held,800,1,1,mega stone
metagrossite,item,held,800,1,1,mega stone
mewtwonitex,item,held,800,1,1,mega stone
mewtwonitey,item,held,800,1,1,mega stone
pidgeotite,item,held,800,1,1,mega stone
pinsirite,item,held,800,1,1,mega stone
pyroarite,item,held,800,1,1,mega stone
raichunitex,item,held,800,1,1,mega stone
raichunitey,item,held,800,1,1,mega stone
sablenite,item,held,800,1,1,mega stone
salamencite,item,held,800,1,1,mega stone
sceptilite,item,held,800,1,1,mega stone
scizorite,item,held,800,1,1,mega stone
scolipite,item,held,800,1,1,mega stone
scovillainite,item,held,800,1,1,mega stone
scraftinite,item,held,800,1,1,mega stone
sharpedonite,item,held,800,1,1,mega stone
skarmorite,item,held,800,1,1,mega stone
slowbronite,item,held,800,1,1,mega stone
staraptite,item,held,800,1,1,mega stone
starminite,item,held,800,1,1,mega stone
steelixite,item,held,800,1,1,mega stone
swampertite,item,held,800,1,1,mega stone
tatsugirinite,item,held,800,1,1,mega stone
tyranitarite,item,held,800,1,1,mega stone
venusaurite,item,held,800,1,1,mega stone
victreebelite,item,held,800,1,1,mega stone
zeraorite,item,held,800,1,1,mega stone
zygardite,item,held,800,1,1,mega stone
*,tm,tm,500,7,1,current team learnable tm pool
